Match_ID,GameMode
7183047164,15
7182989038,15
7182393160,15
7182329747,15
7182324784,15
7182277753,15
7182252895,15
7182239018,15
7182236432,15
7182219193,15
7181819469,15
7181800672,15
7181735263,22
7181696854,22
7181635409,22
7181559959,15
7180414914,15
7180378113,22
7180341262,22
7180078165,22
7179955469,22
7179773980,15
7179481153,15
7178972628,15
7178952818,15
7178886277,22
7178834479,22
7178092463,15
7178073213,15
7177340462,22
7177268205,22
7177215889,22
7177171882,15
7176855616,15
7176795446,15
7176001570,22
7175995061,23
7175947054,15
7173030487,22
7172980600,22
7172505307,22
7172448744,22
7172375834,22
7172222780,22
7166430209,22
7166306516,22
7165304663,22
7165147040,15
7164434155,22
7163701172,15
7163654958,22
7163585597,22
7163524712,22
7163455975,22
7163417498,15
7163359658,22
7163296190,22
7163221044,22
7163033144,15
7154631437,22
7152096067,15
7151628116,15
7148747670,22
7148715820,22
7148154698,15
7147993539,15
7147309037,22
7147272017,22
7147187623,22
7147110782,22
7147022061,22
7146840704,22
7146745900,22
7146422977,22
7146375738,22
7146372237,22
7146213926,22
7146166435,22
7145770597,22
7145723871,22
7145654252,22
7145564148,22
7145409651,22
7145321556,22
7144821883,23
7144763846,22
7144659112,22
7144210000,22
7144154907,22
7144108262,22
7143935987,22
7143824797,22
7143758529,22
7143640183,22
7142938497,22
7142423776,22
7142421528,22
7142375635,22
7142331572,22
7142288247,22
7142149431,15
7142036263,15
7140707898,22
7140666586,22
7140595971,22
7140556254,15
7139908788,15
7139872981,15
7139821832,15
7139773013,22
7139750531,15
7139711230,15
7139681227,15
7139615005,15
7139216043,22
7139184003,15
7139114583,22
7139064868,22
7137296562,15
7137145845,15
7136980830,15
7136938476,15
7136891346,15
7136250858,15
7136139554,15
7135895474,15
7135846821,15
7135673453,15
7135670124,15
7135665056,15
7135626877,15
7135579456,15
7135557688,15
7134569482,22
7134436170,15
7134285642,15
7134236807,15
7134188976,15
7134176085,15
7133900975,15
7133788303,15
7133352106,22
7133323993,22
7132435749,22
7132352052,22
7132264335,15
7131337615,22
7131271562,22
7131052052,23
7130971380,22
7130885412,22
7130342434,15
7129941130,15
7129896252,22
7129859595,22
7129828531,15
7129449392,22
7125417030,22
7121847048,15
7121789873,22
7121689225,22
7121476815,22
7121369367,22
7120834534,22
7119784331,22
7119507991,22
7118765138,22
7117586703,22
7117486778,22
7117295802,22
7117199604,22
6876218449,15
6875893252,15
6875867846,15
6873388255,15
6873208387,22
6868113146,2
6861457083,15
6860392799,15
6860350759,15
6852675509,15
6852641545,15
6850917166,2
6850832832,15
6848876777,22
6848774775,22
6848701040,22
6848596832,15
6848342817,15
6848249405,15
6848167293,15
6847995512,15
6845994350,15
6842739971,15
6842522198,19
6842024608,15
6840862398,15
6840809286,15
6840609167,15
6839459834,15
6839364169,15
6838942229,15
6838904774,15
6838529023,15
6838483239,15
6838442361,15
6838227974,15
6838226593,15
6838195092,15
6838026699,15
6838003287,15
6837376451,15
6835213768,22
6834828127,22
6832429343,22
6831576224,22
6830413202,2
6830065502,22
6830001651,15
6827946969,22
6825670566,22
6825428524,22
6825361005,22
6823914284,22
6822427943,22
6820950466,15
6820512974,22
6819399503,22
6819216449,22
6819151039,22
6817683511,15
6817632302,15
6817580641,15
6817448222,22
6817367307,22
6817214206,22
6815803428,22
6815605329,22
6810067477,15
6809951599,22
6809879888,22
6808718916,23
6808597459,22
6808132419,22
6807847671,22
6807185885,22
6807082768,22
6806937191,22
6806723183,22
6806622610,22
6806379804,22
6805640621,22
6805012363,22
6804573986,22
6803550477,22
6803255468,22
6802327623,23
6802105911,22
6800817264,22
6800724993,22
6800522000,22
6799440989,22
6796992616,22
6796946342,22
6796295545,22
6795480610,22
6795414805,2
6795368217,2
6795352521,1
6793800180,1
6793784433,2
6793727907,2
6793698068,15
6790715358,2
6790578647,22
6789804360,15
6789159590,22
6789076087,22
