Match_ID,GameMode
7824415260,22
7824330295,22
7824245361,22
7818225854,22
7818174708,22
7818072284,22
7818004942,22
7817934641,22
7807393111,15
7807333929,22
7806487142,15
7806388753,22
7806323763,22
7806255263,22
7806167844,15
7806107810,15
7805779838,22
7804559018,15
7804486537,22
7803545783,15
7803521117,15
7803474834,22
7803386227,22
7803312343,22
7803247197,22
7803209027,22
7803134117,22
7802993683,22
7802901365,22
7802770536,22
7802679868,22
7802538352,22
7802488177,22
7802435947,22
7802381226,22
7801296469,15
7801150978,22
7801032446,22
7801010999,22
7794004395,15
7788827829,22
7788729036,22
7788596147,22
7788486770,22
7788384148,15
7788344063,15
7788313185,15
7788264983,15
7779651454,22
7779599022,22
7779534747,22
7779399069,22
7779334798,22
7779211105,22
7779063983,22
7779039087,22
7778922603,22
7778791761,22
7778709247,22
7778624016,22
7778542261,22
7776112580,15
7776060419,22
7776029786,22
7775986293,15
7775916543,22
7775833837,22
7775589594,15
7775582795,15
7774301020,22
7774252657,22
7774164317,22
7774063591,22
7773969922,22
7773875105,22
7772104906,15
7772101614,15
7772052554,22
7771997145,22
7771571601,15
7765055564,22
7764966465,22
7764843686,22
7762977488,22
7762863240,22
7762796108,22
7762735397,22
7761886289,22
7761166343,22
7761034608,22
7760920408,22
7760838354,22
7760754277,22
7760692987,22
7750055734,15
7750011364,15
7749959776,15
7749870374,22
7749767077,22
7749726610,22
7735018329,22
7734960393,22
7734909831,15
7734470377,22
7734353618,22
7734256516,22
7733898155,15
7733867025,15
7733279095,15
7733268077,15
7733255380,15
7733236751,15
7733222661,15
7733207468,15
7733180899,15
7733148300,15
7733098882,22
7733039275,22
7732978022,22
7732735363,22
7732640575,22
7732520436,22
7732448884,22
7732339275,22
7732154134,15
7731421696,22
7731384018,22
7731323016,22
7731320388,22
7731263410,22
7731203539,22
7730968184,22
7730918140,22
7730790081,22
7730721108,22
7730598942,22
7730501599,22
7729377289,22
7729315715,22
7729222312,22
7729128809,22
7728607572,22
7728560288,22
7724974790,15
7724947553,22
7724913910,22
7724869456,22
7723392272,15
7723390585,15
7723369786,15
7723302858,22
7723257192,22
7722917976,22
7722795134,22
7722698952,22
7722615545,22
7721414676,22
7721356970,22
7721220839,22
7721154793,22
7705082078,22
7705040736,22
7704995870,22
7685990806,22
7685985223,22
7685876956,22
7685805009,22
7684549563,15
7684513327,15
7684398186,15
7684276112,22
7684154019,22
7684058251,22
7683973729,22
7683871989,22
7683798903,15
7683758731,15
7682409033,22
7682335619,22
7681566980,15
7681439961,15
7681412184,15
7681326114,22
7681242101,22
7681025184,22
7680812372,15
7680770258,15
7680741610,15
7680219621,15
7680210085,15
7680200135,15
7680190219,15
7680176553,15
7680128738,22
7679407043,22
7677000534,22
7675583080,22
7675531761,22
7675429353,22
7675150324,22
7675058862,22
7674917039,22
7674792100,22
7674696623,22
7673899926,22
7673856797,22
7673807506,22
7673769252,22
7673757796,15
7673732818,15
7673637620,22
7672205396,15
7672174574,22
7672151238,22
7672119324,22
7672079582,22
7671976455,22
7671913827,22
7671820652,15
7671785222,15
7670263339,22
7669592775,15
7669573986,15
7669530206,15
7669493165,15
7669474214,15
7669424766,15
7669393546,15
7669371953,15
7668780734,15
7666237764,15
7666224034,15
7666210054,15
7666188305,15
7666115885,22
7666088843,15
7666085274,15
7661246372,22
7661189559,22
7655201927,22
7655150148,22
