#,Match_ID,Team,Is_Winner,Duration,Nickname,Hero_Name,K,D,A,Account_ID
26,7611221400,Dire,No,62 мин,OUHETTUR,Phoenix,8,10,22,53849319
26,7611221400,Dire,No,62 мин,Железный человек,Timbersaw,13,14,20,253235627
26,7611221400,Dire,No,62 мин,KeS.Jr,Gyrocopter,3,9,29,62575637
26,7611221400,Dire,No,62 мин,elv1n777,Hoodwink,7,11,22,257326716
26,7611221400,Dire,No,62 мин,Atzik,Ancient Apparition,10,14,24,44019880
27,7611146864,Radiant,Yes,36 мин,Железный человек,Timbersaw,8,5,26,253235627
27,7611146864,Radiant,Yes,36 мин,Atzik,Grimstroke,6,3,27,44019880
27,7611146864,Radiant,Yes,36 мин,KeS.Jr,Chaos Knight,11,7,16,62575637
27,7611146864,Radiant,Yes,36 мин,OUHETTUR,Ember Spirit,10,1,22,53849319
27,7611146864,Radiant,Yes,36 мин,elv1n777,Witch Doctor,15,4,20,257326716
27,7611146864,Dire,No,36 мин,Хоссср,Juggernaut,4,9,5,35394283
27,7611146864,Dire,No,36 мин,teo,Omniknight,3,10,7,110621494
27,7611146864,Dire,No,36 мин,StrongLeg,Vengeful Spirit,4,13,10,34226035
27,7611146864,Dire,No,36 мин,Y O S E N,Necrophos,7,7,5,104608913
27,7611146864,Dire,No,36 мин,ластхит по перхоти,Silencer,1,11,11,207865369
28,7605931720,Radiant,No,42 мин,Хоссср,Faceless Void,13,8,10,35394283
28,7605931720,Radiant,No,42 мин,teo,Omniknight,8,7,14,110621494
28,7605931720,Radiant,No,42 мин,KeS.Jr,Nature's Prophet,8,9,20,62575637
28,7605931720,Radiant,No,42 мин,Atzik,Jakiro,9,12,18,44019880
28,7605931720,Radiant,No,42 мин,Булка с маком,Pudge,4,13,9,48804856
28,7605931720,Dire,Yes,42 мин,Y O S E N,Monkey King,11,15,12,104608913
28,7605931720,Dire,Yes,42 мин,Жора Пасатижи,Winter Wyvern,7,11,17,132943958
28,7605931720,Dire,Yes,42 мин,Snake-Jazzman,Lich,4,10,29,37615683
